codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A242,21/02/2019,02,24.3,24.4,24.3,100,100,100,24.3,24.4,24.3,1011.3,1011.3,1011.1,0.3,78,1.3,-1.77,0.0
A242,21/02/2019,22,25.0,25.9,25.0,92,92,83,23.7,23.9,22.8,1010.9,1010.9,1010.6,0.9,51,4.5,41.83,0.0
A242,21/02/2019,18,28.6,29.0,28.1,69,71,66,22.4,23.1,21.4,1010.6,1011.5,1010.6,2.0,19,6.8,1898.,0.0
A242,21/02/2019,13,25.8,26.0,24.3,86,96,85,23.2,24.2,23.1,1013.5,1013.5,1012.7,2.1,20,4.4,1299.,0.0
A242,21/02/2019,12,24.3,24.5,24.0,95,100,95,23.4,24.4,23.4,1012.7,1012.7,1012.0,0.8,46,1.5,520.5,0.0
A242,21/02/2019,06,24.2,24.3,24.2,100,100,100,24.2,24.3,24.2,1010.0,1010.4,1009.9,0.5,29,1.3,-1.43,0.0
A242,21/02/2019,19,25.1,28.7,24.9,89,89,69,23.2,23.4,22.3,1010.5,1010.7,1010.5,2.1,25,9.8,920.7,0.0
A242,21/02/2019,14,27.8,28.0,25.8,71,88,70,22.1,24.3,21.9,1013.6,1013.6,1013.4,3.2,22,7.0,2643.,0.0
A242,21/02/2019,20,26.2,26.2,25.0,84,90,84,23.3,23.7,23.0,1010.4,1010.5,1010.2,2.0,27,4.9,688.8,0.0
A242,21/02/2019,11,24.0,24.0,23.2,100,100,100,24.0,24.0,23.2,1012.0,1012.0,1011.2,0.3,79,0.9,175.5,0.0
A242,21/02/2019,21,25.9,26.4,25.9,83,84,82,22.8,23.3,22.8,1010.6,1010.6,1010.4,2.1,20,4.6,351.4,0.0
A242,21/02/2019,01,24.3,24.6,24.2,100,100,98,24.3,24.5,24.1,1011.1,1011.1,1010.5,0.7,146,1.0,-1.56,0.0
A242,21/02/2019,00,24.5,24.8,24.5,98,98,96,24.2,24.3,24.1,1010.5,1010.5,1009.8,0.4,62,2.2,-1.39,0.0
A242,21/02/2019,10,23.2,23.3,23.2,100,100,100,23.2,23.3,23.2,1011.2,1011.2,1010.5,0.5,131,1.0,9.042,0.0
A242,21/02/2019,05,24.2,24.3,24.2,100,100,100,24.2,24.3,24.2,1010.3,1010.8,1010.3,0.3,117,0.8,-0.54,0.0
A242,21/02/2019,09,23.2,23.3,23.1,100,100,100,23.2,23.3,23.1,1010.5,1010.5,1010.2,0.5,85,1.3,-1.29,0.0
A242,21/02/2019,03,24.4,24.4,24.3,100,100,100,24.4,24.4,24.3,1011.0,1011.4,1011.0,0.4,61,1.4,-0.97,0.0
A242,21/02/2019,04,24.3,24.4,24.3,100,100,100,24.3,24.4,24.3,1010.8,1011.1,1010.8,0.5,135,1.0,0.176,0.2
A242,21/02/2019,23,24.5,25.0,24.5,94,94,91,23.5,23.7,23.3,1011.4,1011.4,1010.9,0.8,47,2.6,-2.23,0.0
A242,21/02/2019,16,28.7,28.7,27.9,71,74,67,23.0,23.2,21.6,1012.4,1013.1,1012.4,2.2,29,7.1,2059.,0.2
A242,21/02/2019,15,28.2,28.4,27.4,69,74,67,21.9,22.7,21.4,1013.1,1013.6,1013.1,2.8,29,7.0,2180.,0.0
A242,21/02/2019,17,28.3,28.8,28.0,70,74,67,22.2,23.2,21.8,1011.5,1012.4,1011.5,2.7,37,7.4,1784.,0.0
A242,21/02/2019,07,23.6,24.2,23.6,100,100,100,23.6,24.2,23.6,1009.8,1010.1,1009.8,0.7,61,2.0,-2.73,0.0
A242,21/02/2019,08,23.1,23.6,23.0,100,100,100,23.1,23.6,23.0,1010.2,1010.2,1009.8,0.3,118,1.5,-3.50,0.0
A242,22/02/2019,01,23.8,24.1,23.8,96,96,95,23.2,23.3,23.1,1012.8,1012.8,1012.3,0.5,52,1.8,-1.95,0.0
A242,22/02/2019,09,23.2,23.3,23.2,100,100,100,23.2,23.3,23.2,1011.8,1011.8,1011.1,0.4,147,0.9,-2.13,0.0
