codigo,data,hora,temp_ins,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A244,13/04/2019,14,28.7,29.3,27.8,73,76,69,23.3,23.9,22.5,1003.5,1003.8,1003.5,3.0,66,7.0,2548.,0.0
A244,13/04/2019,13,28.1,28.4,26.5,74,81,74,23.0,23.7,22.8,1003.8,1003.9,1003.6,2.8,57,6.0,2050.,0.0
A244,13/04/2019,15,29.3,30.2,28.7,68,73,65,22.7,24.0,22.4,1002.5,1003.5,1002.5,2.5,41,5.8,3110.,0.0
A244,13/04/2019,12,26.6,NULL,NULL,80,NULL,NULL,22.8,NULL,NULL,1003.6,NULL,NULL,3.0,33,NULL,914.1,0.0
A244,13/04/2019,16,28.9,30.8,28.9,73,73,62,23.5,24.1,22.4,1001.3,1002.5,1001.3,3.2,44,7.0,2581.,0.0
A244,13/04/2019,17,25.1,31.4,25.1,92,92,60,23.7,24.6,22.3,1001.1,1001.3,1000.5,4.4,74,9.5,2829.,6.6
A244,13/04/2019,18,25.0,25.2,24.7,91,93,90,23.6,23.8,23.2,1000.2,1001.2,1000.2,1.7,110,8.9,443.3,1.8
A244,13/04/2019,19,25.6,26.2,25.0,88,92,87,23.4,24.5,23.2,999.9,1000.4,999.9,2.8,352,4.8,656.5,0.0
A244,13/04/2019,20,25.5,25.6,25.2,89,90,87,23.5,23.7,23.2,1000.0,1000.0,999.6,2.3,14,4.8,486.7,0.0
A244,13/04/2019,21,25.1,25.5,25.1,91,92,88,23.5,23.7,23.3,1000.1,1000.3,1000.0,1.2,355,4.4,157.4,0.0
A244,13/04/2019,22,24.5,25.1,24.5,93,93,90,23.2,23.5,23.1,1000.4,1000.4,1000.1,1.7,331,3.2,14.14,0.6
A244,13/04/2019,23,24.4,24.5,24.3,93,93,92,23.2,23.2,23.1,1001.2,1001.2,1000.4,0.5,304,3.0,-3.26,0.2
A244,14/04/2019,04,23.8,24.2,23.8,95,95,94,23.0,23.3,23.0,1001.9,1002.7,1001.9,0.5,282,1.2,-3.45,0.0
A244,14/04/2019,05,23.7,23.8,23.6,96,96,95,23.0,23.0,22.8,1001.2,1001.9,1001.2,0.7,290,1.6,-3.07,0.0
A244,14/04/2019,06,23.6,23.7,23.6,96,96,95,22.9,22.9,22.8,1000.7,1001.2,1000.6,0.9,320,1.4,-2.71,0.0
A244,14/04/2019,00,24.1,24.4,24.1,94,94,93,23.1,23.2,23.0,1001.9,1002.0,1001.2,0.9,343,1.3,-3.33,0.0
A244,14/04/2019,03,24.2,24.4,24.2,95,95,93,23.3,23.3,23.1,1002.7,1003.1,1002.7,0.7,344,1.3,-3.10,0.0
A244,14/04/2019,14,25.9,26.5,25.4,88,90,84,23.8,24.4,23.4,1004.4,1004.5,1004.3,2.1,55,5.8,1023.,0.2
A244,14/04/2019,07,23.6,23.7,23.6,95,96,95,22.9,23.0,22.8,1000.6,1000.7,1000.6,0.9,334,2.2,-2.02,0.0
A244,14/04/2019,08,23.5,23.7,23.5,95,95,95,22.8,22.9,22.7,1000.2,1000.7,1000.2,1.2,320,2.0,-2.71,0.0
A244,14/04/2019,01,24.1,24.2,24.0,94,95,94,23.1,23.2,23.0,1002.7,1002.7,1001.9,1.3,328,2.0,-3.08,0.0
A244,14/04/2019,09,23.7,23.7,23.5,95,96,95,22.9,22.9,22.7,1001.1,1001.1,1000.2,0.9,333,2.1,-2.39,0.0
A244,14/04/2019,02,24.3,24.4,24.1,93,94,91,23.2,23.2,22.9,1003.0,1003.2,1002.7,0.6,320,4.2,-2.92,0.0
A244,14/04/2019,10,23.7,23.7,23.5,95,95,95,22.9,22.9,22.7,1001.9,1001.9,1001.1,0.6,24,1.6,36.75,0.0
A244,14/04/2019,11,25.0,25.0,23.7,91,95,90,23.3,23.5,22.9,1002.5,1002.5,1001.9,0.8,5,2.0,486.3,0.0
A244,14/04/2019,15,26.3,26.9,25.9,82,89,80,22.9,23.9,22.8,1003.5,1004.4,1003.5,3.9,73,7.0,1487.,0.0
A244,14/04/2019,12,25.5,25.6,25.0,88,91,86,23.4,23.7,23.1,1003.5,1003.5,1002.5,2.1,24,4.5,601.7,0.0
A244,14/04/2019,13,26.0,26.0,25.4,89,90,86,24.0,24.0,23.2,1004.3,1004.3,1003.5,2.4,50,5.4,804.1,0.2
A244,14/04/2019,16,27.5,27.6,26.2,75,83,75,22.7,23.4,22.7,1002.3,1003.5,1002.3,2.4,55,7.1,1659.,0.0
A244,14/04/2019,17,26.9,27.7,26.7,79,80,75,22.8,23.6,22.6,1001.5,1002.3,1001.5,3.2,36,7.3,1493.,0.0
A244,14/04/2019,18,27.1,27.3,26.9,76,79,74,22.6,23.1,22.2,1000.2,1001.5,1000.2,2.4,62,6.7,1463.,0.0
A244,14/04/2019,19,28.1,28.2,27.0,72,78,71,22.6,23.2,22.5,999.6,1000.2,999.6,2.7,29,5.6,1499.,0.0
A244,14/04/2019,20,27.9,28.1,27.4,75,77,72,23.0,23.2,22.4,999.6,999.6,999.5,2.4,60,5.6,1416.,0.0
A244,14/04/2019,21,26.1,27.9,26.1,82,82,74,22.7,23.0,22.6,1000.3,1000.3,999.6,2.6,72,5.3,574.2,0.0
A244,14/04/2019,22,25.2,26.1,25.2,86,87,82,22.7,22.9,22.6,1001.1,1001.1,1000.3,2.2,78,5.4,26.32,0.0
A244,14/04/2019,23,24.4,25.2,24.4,90,90,86,22.6,22.8,22.6,1001.9,1001.9,1001.0,1.7,78,5.6,-3.53,0.0
A244,15/04/2019,01,23.8,24.0,23.8,93,93,92,22.6,22.7,22.6,1003.5,1003.5,1002.8,0.6,69,3.4,-3.46,0.0
A244,15/04/2019,02,23.6,23.8,23.6,94,94,93,22.6,22.7,22.6,1003.7,1003.7,1003.5,1.0,83,1.6,-3.23,0.0
A244,15/04/2019,00,24.0,24.4,24.0,92,92,90,22.6,22.7,22.6,1002.8,1002.8,1001.9,2.2,96,4.3,-3.53,0.0
A244,15/04/2019,03,23.7,23.7,23.6,94,94,94,22.7,22.7,22.6,1003.4,1003.7,1003.4,0.3,258,1.6,-3.26,0.0
A244,15/04/2019,04,23.5,23.7,23.5,95,95,94,22.6,22.7,22.6,1002.5,1003.4,1002.5,0.5,345,1.0,-3.24,0.0
A244,15/04/2019,05,23.6,23.6,23.5,94,95,94,22.5,22.7,22.5,1001.5,1002.5,1001.5,0.9,13,1.7,-2.60,0.0
